地名（中文）,地名（英文）,斯坦因地名,資料庫記錄標題,資料庫個別記錄連結,側欄顯示連結
樓蘭古城（LA）,Loulan Ancient City,Lou-lan,Lou-lan Site,https://dsr.nii.ac.jp/digital-maps/stein/place-names/03151.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/03151.html.en
尼雅遺址（N.xiv）,Niya Site,Niya Site,Niya Site,https://dsr.nii.ac.jp/digital-maps/stein/place-names/03415.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/03415.html.en
米蘭遺址（M.I / M.II）,Miran Site,Mīrān,Mīrān Fort,https://dsr.nii.ac.jp/digital-maps/stein/place-names/03292.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/03292.html.en
安迪爾古城（E.i）,Endere Site,Endere,Endere,https://dsr.nii.ac.jp/digital-maps/stein/place-names/01284.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/01284.html.en
敦煌（莫高窟 / 陽關玉門關起點）,Dunhuang,Tun-huang,Tun-huang,https://dsr.nii.ac.jp/digital-maps/stein/place-names/04828.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/04828.html.en
于闐古國（約特干遺址 / 和田）,Khotan (Yotkan),Yotkan,Yotkan,https://dsr.nii.ac.jp/digital-maps/stein/place-names/05384.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/05384.html.en
高昌古城（吐魯番）,Gaochang (Turfan),Kosh-gumbaz,Kosh-gumbaz (of Turfān),https://dsr.nii.ac.jp/digital-maps/stein/place-names/02745.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/02745.html.en
若羌古城（Charkhlik / 扺洹城 / 鄯善新都）,Charkhlik Site,Charkhlik,Charkhlik,https://dsr.nii.ac.jp/digital-maps/stein/place-names/00794.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/00794.html.en
且末古城（Charchan / 扎滾魯克）,Charchan Site,Charchan,Charchan,https://dsr.nii.ac.jp/digital-maps/stein/place-names/00784.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/00784.html.en
喀拉墩古城（Karadong）,Karadong Site,Kara-dong,Kara-dong (on Keriya R.) ,https://dsr.nii.ac.jp/digital-maps/stein/place-names/01967.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/01967.html.en
熱瓦克佛寺遺址（Rawak Stupa）,Rawak Stupa,Rawak,Rawak Stūpa,https://dsr.nii.ac.jp/digital-maps/stein/place-names/03731.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/03731.html.en
瓦石峽古城（Washxari）,Washxari Site,Vāsh-shahri,Vāsh-shahri ruins,https://dsr.nii.ac.jp/digital-maps/stein/place-names/06033.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/06033.html.en
LK 戍堡遺址 / 海頭故城（L.K.）,L.K. Fort Site,L. K,L. K,https://dsr.nii.ac.jp/digital-maps/stein/place-names/06487.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/06487.html.en
營盤古城遺址（Yingpan）,Yingpan Site,Ying-p'an,Ying-p'an site,https://dsr.nii.ac.jp/digital-maps/stein/place-names/06034.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/06034.html.en
土垠遺址群（Tuyin）,Tuyin Site,L. G ,L. G ,https://dsr.nii.ac.jp/digital-maps/stein/place-names/06461.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/06461.html.en
阿拉乾營地 / 驛站（Arghan）,Arghan Station,Arghan,Arghan (of Charkhlik),https://dsr.nii.ac.jp/digital-maps/stein/place-names/00322.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/00322.html.en
小河遺址群 / 墓地（Xiaohe Site）,Xiaohe Cemetery Site,無,無,https://en.wikipedia.org/wiki/Xiaohe_Cemetery,https://en.wikipedia.org/wiki/Xiaohe_Cemetery
陽關遺址（絲路南道西出總門戶）,Yangguan Pass,無,無,https://en.wikipedia.org/wiki/Yang_Pass,https://en.wikipedia.org/wiki/Yang_Pass
玉門關遺址（小方盤城 / 絲路北中道門戶）,Yumen Pass (Little Fangpan Castle),Yü-mên,Yü-mên,https://dsr.nii.ac.jp/digital-maps/stein/place-names/05387.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/05387.html.en
阿達格泉 / 鹹水泉（陽關－米蘭山前古道關鍵水源驛站）,Adag Spring Station,Ak-tāgh-bulak,Ak-tāgh-bulak,https://dsr.nii.ac.jp/digital-maps/stein/place-names/00158.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/00158.html.en
阿蘭的家（VT建議地點）,Chindailik,Chindailik,Chindailik,https://dsr.nii.ac.jp/digital-maps/stein/place-names/00941.html.en,https://dsr.nii.ac.jp/digital-maps/stein/place-names/00941.html.en
